IsWinner,MarketplaceId,ProductId,TimeOfOfferChange,ConditionNotes,IsFeaturedMerchant,IsFulfilledByAmazon,ListingPrice,ListingCurrency,SellerFeedbackRating,SellerFeedbackCount,SellerId,ShippingPrice,ShippingCurrency,ShippingTime_minHours,ShippingTime_maxHours,ShippingTime_availtype,ShipsDomestically,ShipsFromCountry,ShipsFromState,SubCondition
0,1156461832353164887,-6219878023547990916,2016-02-04T04:27:21.627Z,"BRAND NEW!! HST ALREADY INCLUDED IN PRICE! NO DUTY OR BROKERAGE FEES! Reliable service you",1,0,97.45,CAD,91,10606,-1177408302343430963,5.00,CAD,24,48,NOW,1,,,new
0,1156461832353164887,-6219878023547990916,2016-02-04T04:27:21.627Z,,1,0,102.71,CAD,88,8452,-6639690782514669126,13.19,CAD,96,120,NOW,1,,,new
0,1156461832353164887,-6219878023547990916,2016-02-04T04:27:21.627Z,,1,0,109.13,CAD,96,41419,9012427554787096099,7.00,CAD,24,48,NOW,1,,,new
0,1156461832353164887,-6219878023547990916,2016-02-04T04:27:21.627Z,,1,0,116.13,CAD,95,5535,-8852182251270724705,0.00,CAD,24,48,NOW,1,,,new
0,1156461832353164887,-6219878023547990916,2016-02-04T04:27:21.627Z,,1,0,99.16,CAD,97,4513,622743086816758000,23.38,CAD,144,240,NOW,1,US,NJ,new
0,1156461832353164887,-6219878023547990916,2016-02-04T04:27:21.627Z,"Duty free - Ships from USA",1,0,138.90,CAD,98,1446,1163115142515862290,0.00,CAD,24,48,NOW,1,US,CA,new
0,1156461832353164887,-6219878023547990916,2016-02-04T04:27:21.627Z,,1,0,142.36,CAD,96,1326,8648764257939339698,0.00,CAD,24,48,NOW,1,,,new
0,1156461832353164887,-6219878023547990916,2016-02-04T04:27:21.627Z,,1,0,170.76,CAD,82,28,3369377968127476899,50.46,CAD,24,48,NOW,1,,,new
0,1156461832353164887,-6219878023547990916,2016-02-04T04:27:21.627Z,,1,0,363.01,CAD,99,79,-1869213145998141353,0.00,CAD,24,48,NOW,1,,,new
1,1156461832353164887,-2406396100216511638,2016-02-04T04:29:07.495Z,"100% Duty Free Shopping. We prepay ALL Duties, VAT and Brokerage fees",1,0,67.00,CAD,91,3459,7235704646333918828,0.00,CAD,24,48,NOW,1,,,new
0,1156461832353164887,-2406396100216511638,2016-02-04T04:29:07.495Z,,1,0,57.07,CAD,96,1790,1788801474825896666,9.98,CAD,96,120,NOW,1,US,NY,new
0,1156461832353164887,-2406396100216511638,2016-02-04T04:29:07.495Z,"Brand new items, Experienced seller, Shipping from Canada, French and English Service. / I",1,0,67.72,CAD,96,35264,6791568714796518563,0.00,CAD,96,120,NOW,1,CA,QC,new
0,1156461832353164887,-2406396100216511638,2016-02-04T04:29:07.495Z,,1,0,52.22,CAD,93,2521,-5016003493506265192,21.94,CAD,24,48,NOW,1,US,VA,new
0,1156461832353164887,-2406396100216511638,2016-02-04T04:29:07.495Z,"BRAND NEW!! HST ALREADY INCLUDED IN PRICE! NO DUTY OR BROKERAGE FEES! Reliable service you",1,0,70.67,CAD,91,10606,-1177408302343430963,5.00,CAD,24,48,NOW,1,,,new
0,1156461832353164887,-2406396100216511638,2016-02-04T04:29:07.495Z,"BRAND NEW!! HST ALREADY INCLUDED IN PRICE! NO DUTY OR BROKERAGE FEES! Reliable service you",1,0,71.78,CAD,91,10606,-1177408302343430963,5.00,CAD,24,48,NOW,1,,,new
0,1156461832353164887,-2406396100216511638,2016-02-04T04:29:07.495Z,,1,0,86.04,CAD,96,41419,9012427554787096099,5.00,CAD,96,120,NOW,1,,,new
0,1156461832353164887,-2406396100216511638,2016-02-04T04:29:07.495Z,,1,0,92.37,CAD,99,79,-1869213145998141353,0.00,CAD,24,48,NOW,1,,,new
0,1156461832353164887,-2406396100216511638,2016-02-04T04:29:07.495Z,,1,0,92.37,CAD,95,5535,-8852182251270724705,0.00,CAD,24,48,NOW,1,,,new
0,1156461832353164887,-2406396100216511638,2016-02-04T04:29:07.495Z,,1,0,86.04,CAD,96,41419,9012427554787096099,7.00,CAD,96,120,NOW,1,,,new
0,1156461832353164887,-2406396100216511638,2016-02-04T04:29:07.495Z,,1,0,81.26,CAD,88,8452,-6639690782514669126,13.94,CAD,96,120,NOW,1,,,new
0,1156461832353164887,-2406396100216511638,2016-02-04T04:29:07.495Z,,1,0,107.35,CAD,96,1326,8648764257939339698,0.00,CAD,24,48,NOW,1,,,new
0,1156461832353164887,-2406396100216511638,2016-02-04T04:29:07.495Z,,1,0,84.34,CAD,97,4513,622743086816758000,24.85,CAD,144,240,NOW,1,US,NJ,new
0,1156461832353164887,-2406396100216511638,2016-02-04T04:29:07.495Z,"Duty free - Ships from USA",1,0,120.62,CAD,98,1446,1163115142515862290,0.00,CAD,24,48,NOW,1,US,CA,new
0,1156461832353164887,-2406396100216511638,2016-02-04T04:29:07.495Z,,1,0,103.44,CAD,100,7,-235620327314718933,22.52,CAD,144,240,NOW,1,,,new
0,1156461832353164887,-2406396100216511638,2016-02-04T04:29:07.495Z,,1,0,190.47,CAD,0,0,2985623125859395725,60.86,CAD,72,96,NOW,1,,,new
1,1156461832353164887,2802818691485963934,2016-02-04T04:30:02.577Z,,1,0,103.40,CAD,95,10182,7102261811958052132,10.00,CAD,96,120,NOW,1,CA,BC,new
0,1156461832353164887,2802818691485963934,2016-02-04T04:30:02.577Z,"GST/HST Only, No PST.",1,0,103.18,CAD,95,4384,-2572277640783537773,21.05,CAD,24,48,NOW,1,CA,ON,new
0,1156461832353164887,2802818691485963934,2016-02-04T04:30:02.577Z,,0,0,125.09,CAD,71,7,-5203594887869139290,0.00,CAD,48,72,NOW,1,,,new
0,1156461832353164887,2802818691485963934,2016-02-04T04:30:02.577Z,"Ready To Ship - We are unable to ship to PO Boxes, NT, YT and NU Territories",1,0,110.48,CAD,95,4078,-1789487307643024748,15.53,CAD,48,72,NOW,1,CA,ON,new
0,1156461832353164887,2802818691485963934,2016-02-04T04:30:02.577Z,"Brand new items, Experienced seller, Shipping from Canada, French and English Service. / I",1,0,131.34,CAD,96,35264,6791568714796518563,0.00,CAD,96,120,NOW,1,CA,QC,new
0,1156461832353164887,2802818691485963934,2016-02-04T04:30:02.577Z,,1,0,115.08,CAD,97,4513,622743086816758000,27.37,CAD,144,240,NOW,1,US,NJ,new
0,1156461832353164887,2802818691485963934,2016-02-04T04:30:02.577Z,"Brand new and ready to ship from CANADA **** FAST SHIPPING ***",1,0,157.15,CAD,96,7090,-373508113925093038,17.95,CAD,24,48,NOW,1,CA,ON,new
0,1156461832353164887,2802818691485963934,2016-02-04T04:30:02.577Z,,1,0,170.40,CAD,90,26,-7533402168856574603,52.29,CAD,24,48,NOW,1,IT,,new
0,1156461832353164887,2802818691485963934,2016-02-04T04:30:02.577Z,,1,0,221.08,CAD,96,1790,1788801474825896666,9.98,CAD,96,120,NOW,1,US,NY,new
0,1156461832353164887,2802818691485963934,2016-02-04T04:30:02.577Z,,1,0,221.61,CAD,96,1790,1788801474825896666,9.98,CAD,96,120,NOW,1,US,NY,new
0,1156461832353164887,2802818691485963934,2016-02-04T04:30:02.577Z,"Duty free - Ships from USA",1,0,233.12,CAD,98,1446,1163115142515862290,0.00,CAD,24,48,NOW,1,US,CA,new
0,1156461832353164887,2802818691485963934,2016-02-04T04:30:02.577Z,"100% Duty Free Shopping. We prepay ALL Duties, VAT and Brokerage fees",1,0,259.00,CAD,91,3459,7235704646333918828,0.00,CAD,24,48,NOW,1,,,new
0,1156461832353164887,2802818691485963934,2016-02-04T04:30:02.577Z,,1,0,233.29,CAD,82,28,3369377968127476899,65.11,CAD,24,48,NOW,1,,,new
0,1156461832353164887,2802818691485963934,2016-02-04T04:30:02.577Z,,1,0,337.75,CAD,96,1289,403962612376694152,9.54,CAD,24,48,NOW,1,,,new
0,1156461832353164887,2802818691485963934,2016-02-04T04:30:02.577Z,,1,0,344.00,CAD,100,2,-6259272632571155851,45.00,CAD,264,360,NOW,1,DE,,new
0,1156461832353164887,-9131643267408786185,2016-02-04T04:29:11.671Z,"Brand new items, Experienced seller, Shipping from Canada, French and English Service. / I",1,0,101.70,CAD,96,35264,6791568714796518563,0.00,CAD,96,120,NOW,1,CA,QC,new
0,1156461832353164887,-9131643267408786185,2016-02-04T04:29:11.671Z,,0,0,90.89,CAD,98,3293,4143506568603310959,10.99,CAD,24,48,NOW,1,US,NY,new
0,1156461832353164887,-9131643267408786185,2016-02-04T04:29:11.671Z,,1,0,93.13,CAD,96,1790,1788801474825896666,9.98,CAD,96,120,NOW,1,US,NY,new
1,1156461832353164887,-9131643267408786185,2016-02-04T04:29:11.671Z,,1,1,103.71,CAD,0,0,1207135739277432339,0.00,CAD,0,0,NOW,1,,,new
0,1156461832353164887,-9131643267408786185,2016-02-04T04:29:11.671Z,"BRAND NEW!! HST ALREADY INCLUDED IN PRICE! NO DUTY OR BROKERAGE FEES! Reliable service you",1,0,110.64,CAD,91,10606,-1177408302343430963,5.00,CAD,24,48,NOW,1,,,new
0,1156461832353164887,-9131643267408786185,2016-02-04T04:29:11.671Z,,1,0,122.90,CAD,88,8452,-6639690782514669126,13.94,CAD,96,120,NOW,1,,,new
0,1156461832353164887,-9131643267408786185,2016-02-04T04:29:11.671Z,,1,0,130.26,CAD,96,41419,9012427554787096099,7.00,CAD,24,48,NOW,1,,,new
0,1156461832353164887,-9131643267408786185,2016-02-04T04:29:11.671Z,,1,0,115.08,CAD,97,4513,622743086816758000,27.15,CAD,144,240,NOW,1,US,NJ,new
0,1156461832353164887,-9131643267408786185,2016-02-04T04:29:11.671Z,,1,0,163.83,CAD,96,1326,8648764257939339698,0.00,CAD,24,48,NOW,1,,,new
0,1156461832353164887,-9131643267408786185,2016-02-04T04:29:11.671Z,,1,0,421.53,CAD,95,5535,-8852182251270724705,0.00,CAD,24,48,NOW,1,,,new
1,1156461832353164887,-5701463121023377686,2016-02-04T04:30:06.510Z,,1,1,52.99,CAD,0,0,1207135739277432339,0.00,CAD,0,0,NOW,1,,,new
0,1156461832353164887,-5701463121023377686,2016-02-04T04:30:06.510Z,"Brand new items, Experienced seller, Shipping from Canada, French and English Service. / I",1,0,69.77,CAD,96,35264,6791568714796518563,0.00,CAD,96,120,NOW,1,CA,QC,new
0,1156461832353164887,-5701463121023377686,2016-02-04T04:30:06.510Z,,0,0,59.20,CAD,98,3293,4143506568603310959,13.09,CAD,24,48,NOW,1,US,NY,new
0,1156461832353164887,-5701463121023377686,2016-02-04T04:30:06.510Z,,1,0,69.39,CAD,96,1790,1788801474825896666,9.98,CAD,96,120,NOW,1,US,NY,new
0,1156461832353164887,-5701463121023377686,2016-02-04T04:30:06.510Z,,1,0,71.94,CAD,96,1790,1788801474825896666,9.98,CAD,96,120,NOW,1,US,NY,new
0,1156461832353164887,-5701463121023377686,2016-02-04T04:30:06.510Z,,1,0,61.99,CAD,93,2521,-5016003493506265192,26.18,CAD,24,48,NOW,1,US,VA,new
0,1156461832353164887,-5701463121023377686,2016-02-04T04:30:06.510Z,"Fast shipping.",1,0,77.19,CAD,95,4384,-2572277640783537773,12.12,CAD,24,48,NOW,1,CA,ON,new
0,1156461832353164887,-5701463121023377686,2016-02-04T04:30:06.510Z,"BRAND NEW!! HST ALREADY INCLUDED IN PRICE! NO DUTY OR BROKERAGE FEES! Reliable service you",1,0,86.17,CAD,91,10606,-1177408302343430963,5.00,CAD,24,48,NOW,1,,,new
0,1156461832353164887,-5701463121023377686,2016-02-04T04:30:06.510Z,,1,0,67.60,CAD,88,8452,-6639690782514669126,26.66,CAD,96,120,NOW,1,,,new
0,1156461832353164887,-5701463121023377686,2016-02-04T04:30:06.510Z,"100% Duty Free Shopping. We prepay ALL Duties, VAT and Brokerage fees",1,0,95.94,CAD,91,3459,7235704646333918828,0.00,CAD,24,48,NOW,1,,,new
0,1156461832353164887,-5701463121023377686,2016-02-04T04:30:06.510Z,"BRAND NEW!! HST ALREADY INCLUDED IN PRICE! NO DUTY OR BROKERAGE FEES! Reliable service you",1,0,91.29,CAD,91,10606,-1177408302343430963,5.00,CAD,24,48,NOW,1,,,new
0,1156461832353164887,-5701463121023377686,2016-02-04T04:30:06.510Z,,1,0,88.50,CAD,96,41419,9012427554787096099,8.00,CAD,24,48,NOW,1,,,new
0,1156461832353164887,-5701463121023377686,2016-02-04T04:30:06.510Z,"BRAND NEW!! HST ALREADY INCLUDED IN PRICE! NO DUTY OR BROKERAGE FEES! Reliable service you",1,0,93.56,CAD,91,10606,-1177408302343430963,5.00,CAD,24,48,NOW,1,,,new
0,1156461832353164887,-5701463121023377686,2016-02-04T04:30:06.510Z,,0,0,87.72,CAD,98,3293,4143506568603310959,13.09,CAD,48,72,NOW,1,US,NY,new
0,1156461832353164887,-5701463121023377686,2016-02-04T04:30:06.510Z,"Dispatched from England by Priority Airmail, allow 7-10 days for Canada Post delivery.",1,0,117.66,CAD,91,11930,-1888136325356517677,7.50,CAD,24,48,NOW,1,,,new
0,1156461832353164887,-5701463121023377686,2016-02-04T04:30:06.510Z,"Duty free - Ships from USA",1,0,134.90,CAD,98,1446,1163115142515862290,0.00,CAD,24,48,NOW,1,US,CA,new
0,1156461832353164887,-5701463121023377686,2016-02-04T04:30:06.510Z,"Our items ship from within Canada. You need not worry about duty.",1,0,120.61,CAD,92,51,8994525145737931518,17.12,CAD,144,240,NOW,1,CA,ON,new
0,1156461832353164887,-5701463121023377686,2016-02-04T04:30:06.510Z,,1,0,155.99,CAD,96,1289,403962612376694152,9.54,CAD,24,48,NOW,1,,,new
