,IsWinner,ProductId,TimeOfOfferChange,IsFeaturedMerchant,IsFulfilledByAmazon,ListingPrice,SellerFeedbackRating,SellerFeedbackCount,SellerId,ShippingPrice,ShippingTime_minHours,ShippingTime_maxHours,ShipsFromCountry,ShipsFromState
49,0,-2406396100216511638,2016-02-04T04:29:07.495Z,1,0,84.34,97,4513,622743086816758000,24.85,144,240,US,NJ
50,0,-2406396100216511638,2016-02-04T04:29:07.495Z,1,0,120.62,98,1446,1163115142515862290,0.0,24,48,US,CA
51,0,-2406396100216511638,2016-02-04T04:29:07.495Z,1,0,103.44,100,7,-235620327314718933,22.52,144,240,,
52,0,-2406396100216511638,2016-02-04T04:29:07.495Z,1,0,190.47,0,0,2985623125859395725,60.86,72,96,,
53,1,2802818691485963934,2016-02-04T04:30:02.577Z,1,0,103.4,95,10182,7102261811958052132,10.0,96,120,CA,BC
54,0,2802818691485963934,2016-02-04T04:30:02.577Z,1,0,103.18,95,4384,-2572277640783537773,21.05,24,48,CA,ON
55,0,2802818691485963934,2016-02-04T04:30:02.577Z,0,0,125.09,71,7,-5203594887869139290,0.0,48,72,,
56,0,2802818691485963934,2016-02-04T04:30:02.577Z,1,0,110.48,95,4078,-1789487307643024748,15.53,48,72,CA,ON
57,0,2802818691485963934,2016-02-04T04:30:02.577Z,1,0,131.34,96,35264,6791568714796518563,0.0,96,120,CA,QC
58,0,2802818691485963934,2016-02-04T04:30:02.577Z,1,0,115.08,97,4513,622743086816758000,27.37,144,240,US,NJ
59,0,2802818691485963934,2016-02-04T04:30:02.577Z,1,0,157.15,96,7090,-373508113925093038,17.95,24,48,CA,ON
60,0,2802818691485963934,2016-02-04T04:30:02.577Z,1,0,170.4,90,26,-7533402168856574603,52.29,24,48,IT,
61,0,2802818691485963934,2016-02-04T04:30:02.577Z,1,0,221.08,96,1790,1788801474825896666,9.98,96,120,US,NY
62,0,2802818691485963934,2016-02-04T04:30:02.577Z,1,0,221.61,96,1790,1788801474825896666,9.98,96,120,US,NY
63,0,2802818691485963934,2016-02-04T04:30:02.577Z,1,0,233.12,98,1446,1163115142515862290,0.0,24,48,US,CA
64,0,2802818691485963934,2016-02-04T04:30:02.577Z,1,0,259.0,91,3459,7235704646333918828,0.0,24,48,,
65,0,2802818691485963934,2016-02-04T04:30:02.577Z,1,0,233.29,82,28,3369377968127476899,65.11,24,48,,
66,0,2802818691485963934,2016-02-04T04:30:02.577Z,1,0,337.75,96,1289,403962612376694152,9.54,24,48,,
67,0,2802818691485963934,2016-02-04T04:30:02.577Z,1,0,344.0,100,2,-6259272632571155851,45.0,264,360,DE,
68,0,-9131643267408786185,2016-02-04T04:29:11.671Z,1,0,101.7,96,35264,6791568714796518563,0.0,96,120,CA,QC
69,0,-9131643267408786185,2016-02-04T04:29:11.671Z,0,0,90.89,98,3293,4143506568603310959,10.99,24,48,US,NY
70,0,-9131643267408786185,2016-02-04T04:29:11.671Z,1,0,93.13,96,1790,1788801474825896666,9.98,96,120,US,NY
71,1,-9131643267408786185,2016-02-04T04:29:11.671Z,1,1,103.71,0,0,1207135739277432339,0.0,0,0,,
72,0,-9131643267408786185,2016-02-04T04:29:11.671Z,1,0,110.64,91,10606,-1177408302343430963,5.0,24,48,,
73,0,-9131643267408786185,2016-02-04T04:29:11.671Z,1,0,122.9,88,8452,-6639690782514669126,13.94,96,120,,
74,0,-9131643267408786185,2016-02-04T04:29:11.671Z,1,0,130.26,96,41419,9012427554787096099,7.0,24,48,,
75,0,-9131643267408786185,2016-02-04T04:29:11.671Z,1,0,115.08,97,4513,622743086816758000,27.15,144,240,US,NJ
76,0,-9131643267408786185,2016-02-04T04:29:11.671Z,1,0,163.83,96,1326,8648764257939339698,0.0,24,48,,
77,0,-9131643267408786185,2016-02-04T04:29:11.671Z,1,0,421.53,95,5535,-8852182251270724705,0.0,24,48,,
78,1,-5701463121023377686,2016-02-04T04:30:06.510Z,1,1,52.99,0,0,1207135739277432339,0.0,0,0,,
79,0,-5701463121023377686,2016-02-04T04:30:06.510Z,1,0,69.77,96,35264,6791568714796518563,0.0,96,120,CA,QC
80,0,-5701463121023377686,2016-02-04T04:30:06.510Z,0,0,59.2,98,3293,4143506568603310959,13.09,24,48,US,NY
81,0,-5701463121023377686,2016-02-04T04:30:06.510Z,1,0,69.39,96,1790,1788801474825896666,9.98,96,120,US,NY
82,0,-5701463121023377686,2016-02-04T04:30:06.510Z,1,0,71.94,96,1790,1788801474825896666,9.98,96,120,US,NY
83,0,-5701463121023377686,2016-02-04T04:30:06.510Z,1,0,61.99,93,2521,-5016003493506265192,26.18,24,48,US,VA
84,0,-5701463121023377686,2016-02-04T04:30:06.510Z,1,0,77.19,95,4384,-2572277640783537773,12.12,24,48,CA,ON
85,0,-5701463121023377686,2016-02-04T04:30:06.510Z,1,0,86.17,91,10606,-1177408302343430963,5.0,24,48,,
86,0,-5701463121023377686,2016-02-04T04:30:06.510Z,1,0,67.6,88,8452,-6639690782514669126,26.66,96,120,,
87,0,-5701463121023377686,2016-02-04T04:30:06.510Z,1,0,95.94,91,3459,7235704646333918828,0.0,24,48,,
88,0,-5701463121023377686,2016-02-04T04:30:06.510Z,1,0,91.29,91,10606,-1177408302343430963,5.0,24,48,,
89,0,-5701463121023377686,2016-02-04T04:30:06.510Z,1,0,88.5,96,41419,9012427554787096099,8.0,24,48,,
